Mapping,Irony,Sarcasm,Satire
COMMUNICATION - ADDRESS,COMMUNICATION - ADDRESS,,
MOTION - RIGHT,MOTION - RIGHT,,
PERMISSIVENESS - ACTION,PERMISSIVENESS - ACTION,,
ASSURANCE - COMMUNICATION,ASSURANCE - COMMUNICATION,,
CHANGE_OF_STATE - NONACCOMPLISHMENT,CHANGE_OF_STATE - NONACCOMPLISHMENT,,
ACTIVITY - INFORMING,ACTIVITY - INFORMING,,
ACQUISITION - COMMERCE,ACQUISITION - COMMERCE,,
COMMUNICATION - BCP,COMMUNICATION - BCP,,
ACT - SOLICITATION,ACT - SOLICITATION,,
COLLECTION - SOCIETY,COLLECTION - SOCIETY,,
INFORMING - COMBINATION,INFORMING - COMBINATION,,
FIGHT - GRASS,FIGHT - GRASS,,
BCP - PERCEPTION,BCP - PERCEPTION,,
MOTION - ADJUSTMENT,MOTION - ADJUSTMENT,,
SANITARY_CONDITION - UNSANITARINESS,SANITARY_CONDITION - UNSANITARINESS,,
FEELING - SEARCH,FEELING - SEARCH,,
SHARING - ACQUISITION,SHARING - ACQUISITION,,
ARTIFACT - HOOK,ARTIFACT - HOOK,,
ARTIST - CONTAINER,ARTIST - CONTAINER,,
WORK - ATTEMPT,WORK - ATTEMPT,,
OBSCURITY - STATUS,,OBSCURITY - STATUS,
SOCIAL_CONTROL - NONACCOMPLISHMENT,,SOCIAL_CONTROL - NONACCOMPLISHMENT,
DESCRIPTION - LABEL,,DESCRIPTION - LABEL,
ACT - CREATING_BY_REMOVAL,,ACT - CREATING_BY_REMOVAL,
GROUP - CONTEST,,GROUP - CONTEST,
NOISE - IMPORTANCE,,NOISE - IMPORTANCE,
PHYSICS - FARM_BUILDING,,PHYSICS - FARM_BUILDING,
END - LACK,,END - LACK,
FEAR - BAD_PERSON,,FEAR - BAD_PERSON,
INDEFINITE_QUANTITY - MEDICINE,,INDEFINITE_QUANTITY - MEDICINE,
REPROBATE - FINANCIAL_CONDITION,,REPROBATE - FINANCIAL_CONDITION,
COMMUNICATION - BAD_PERSON,,COMMUNICATION - BAD_PERSON,
PAUSE - STRUCTURE,,PAUSE - STRUCTURE,
ACTION - HAPPENING,,ACTION - HAPPENING,
EXTREMITY - MORPHEME,,EXTREMITY - MORPHEME,
UNIT - GROUP_ACTION,,UNIT - GROUP_ACTION,
LIQUID_BODY_SUBSTANCE - COMMUNICATION,,LIQUID_BODY_SUBSTANCE - COMMUNICATION,
ATTACHMENT - CONTINUANCE,,ATTACHMENT - CONTINUANCE,
FIGHT - DETERMINATION,,FIGHT - DETERMINATION,
UNIT - ACTIVITY,,UNIT - ACTIVITY,
DISCLOSURE - PRESENTATION,,,DISCLOSURE - PRESENTATION
OUTGO - MOTION,,,OUTGO - MOTION
OUTGO - ACTION,,,OUTGO - ACTION
SHARING - TRANSPORTATION,,,SHARING - TRANSPORTATION
OUTGO - BCP,,,OUTGO - BCP
APPEARANCE - LOOK,,,APPEARANCE - LOOK
EVENT - INFORMING,,,EVENT - INFORMING
PERSON - CELESTIAL_BODY,,,PERSON - CELESTIAL_BODY
TIME_INTERVAL - CHANGE_OF_INTEGRITY,,,TIME_INTERVAL - CHANGE_OF_INTEGRITY
CHANGE_OF_DIRECTION - INVESTIGATION,,,CHANGE_OF_DIRECTION - INVESTIGATION
COGNITION - LOAD,,,COGNITION - LOAD
ATTRIBUTE - COMMUNICATION,,,ATTRIBUTE - COMMUNICATION
DEVICE - INNOCENCE,,,DEVICE - INNOCENCE
PERSON - ADULT,,,PERSON - ADULT
REGION - GEOLOGICAL_FORMATION,,,REGION - GEOLOGICAL_FORMATION
ACTION - FLATTERER,,,ACTION - FLATTERER
FEELING - DESIRE,,,FEELING - DESIRE
COMMUNICATION - ARRANGEMENT,,,COMMUNICATION - ARRANGEMENT
STATE - TIME_PERIOD,,,STATE - TIME_PERIOD
PERSON - SIZE,,,PERSON - SIZE
