Mapping,Count_Irony,Rel_Freq_Irony,Count_Sarcasm,Rel_Freq_Sarcasm,Count_Satire,Rel_Freq_Satire,Type,P_Value,Significance
COMMUNICATION IS ADDRESS,11.0,0.0008231684501983087,0.0,0.0,0.0,0.0,Irony,1.6701700790245632e-05,***
MOTION IS RIGHT,9.0,0.0006735014592531617,0.0,0.0,0.0,0.0,Irony,0.00012340980408667962,***
PERMISSIVENESS IS ACTION,7.0,0.0005238344683080147,0.0,0.0,0.0,0.0,Irony,0.000911881965554517,***
ASSURANCE IS COMMUNICATION,7.0,0.0005238344683080147,0.0,0.0,0.0,0.0,Irony,0.000911881965554517,***
CHANGE_OF_STATE IS NONACCOMPLISHMENT,6.0,0.00044900097283544113,0.0,0.0,0.0,0.0,Irony,0.002478752176666357,**
ACTIVITY IS INFORMING,6.0,0.00044900097283544113,0.0,0.0,0.0,0.0,Irony,0.002478752176666357,**
ARTIFACT IS HOOK,5.0,0.0003741674773628676,0.0,0.0,0.0,0.0,Irony,0.006737946999085476,**
FEELING IS SEARCH,5.0,0.0003741674773628676,0.0,0.0,0.0,0.0,Irony,0.006737946999085476,**
SANITARY_CONDITION IS UNSANITARINESS,5.0,0.0003741674773628676,0.0,0.0,0.0,0.0,Irony,0.006737946999085476,**
MOTION IS ADJUSTMENT,5.0,0.0003741674773628676,0.0,0.0,0.0,0.0,Irony,0.006737946999085476,**
SHARING IS ACQUISITION,5.0,0.0003741674773628676,0.0,0.0,0.0,0.0,Irony,0.006737946999085476,**
BCP IS PERCEPTION,5.0,0.0003741674773628676,0.0,0.0,0.0,0.0,Irony,0.006737946999085476,**
ACQUISITION IS COMMERCE,5.0,0.0003741674773628676,0.0,0.0,0.0,0.0,Irony,0.006737946999085476,**
INFORMING IS COMBINATION,5.0,0.0003741674773628676,0.0,0.0,0.0,0.0,Irony,0.006737946999085476,**
COLLECTION IS SOCIETY,5.0,0.0003741674773628676,0.0,0.0,0.0,0.0,Irony,0.006737946999085476,**
FIGHT IS GRASS,5.0,0.0003741674773628676,0.0,0.0,0.0,0.0,Irony,0.006737946999085476,**
ACT IS SOLICITATION,5.0,0.0003741674773628676,0.0,0.0,0.0,0.0,Irony,0.006737946999085476,**
COMMUNICATION IS BCP,5.0,0.0003741674773628676,0.0,0.0,0.0,0.0,Irony,0.006737946999085476,**
BODILY_PROCESS IS LOAD,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
ORGANIC_PROCESS IS SIZE,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
CHANGE_OF_STATE IS INFORMING,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
LOCATION IS SPACE,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
HCP IS CONNECTION,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
INSTRUMENTALITY IS MEASURE,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
PORTRAYAL IS OUTGO,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
ARTIFACT IS HAPPENING,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
COMMUNICATION IS UTTERANCE,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
PREVENTION IS OBSTRUCTION,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
ACT IS SHOW,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
STATUS IS SIZE,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
COMBATANT IS ATTACKER,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
PERCEPTION IS CHANGE_OF_LOCATION,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
EVENT IS DRAMATIC_COMPOSITION,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
SITUATION IS HAPPENING,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
WORK IS ATTEMPT,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
FEELING IS MYTHICAL_MONSTER,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
ACTION IS PLATFORM,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
SOUND IS BODILY_PROCESS,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
MILITARY_ACTION IS CONFLICT,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
ARTIST IS CONTAINER,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
RELATION IS ARTIFACT,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
SIMPLETON IS SYMBOL,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
ACTION IS ATTITUDE,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
CREATIVITY IS IMAGINATION,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
ARGUMENT IS ACTIVITY,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
GAIT IS MOVEMENT,4.0,0.0002993339818902941,0.0,0.0,0.0,0.0,Irony,0.018315638888734168,*
