Mapping,Count_Irony,Rel_Freq_Irony,Count_Sarcasm,Rel_Freq_Sarcasm,Count_Satire,Rel_Freq_Satire,Type,P_Value,Significance
OBSCURITY IS STATUS,0.0,0.0,15.0,0.0011465260261407934,0.0,0.0,Sarcasm,3.0590232050182594e-07,***
DESCRIPTION IS LABEL,0.0,0.0,8.0,0.0006114805472750898,0.0,0.0,Sarcasm,0.00033546262790251126,***
SOCIAL_CONTROL IS NONACCOMPLISHMENT,0.0,0.0,8.0,0.0006114805472750898,0.0,0.0,Sarcasm,0.00033546262790251126,***
ACT IS CREATING_BY_REMOVAL,0.0,0.0,6.0,0.00045861041045631735,0.0,0.0,Sarcasm,0.002478752176666357,**
GROUP IS CONTEST,0.0,0.0,6.0,0.00045861041045631735,0.0,0.0,Sarcasm,0.002478752176666357,**
NOISE IS IMPORTANCE,0.0,0.0,6.0,0.00045861041045631735,0.0,0.0,Sarcasm,0.002478752176666357,**
EXTREMITY IS MORPHEME,0.0,0.0,5.0,0.00038217534204693115,0.0,0.0,Sarcasm,0.006737946999085476,**
ACTION IS HAPPENING,0.0,0.0,5.0,0.00038217534204693115,0.0,0.0,Sarcasm,0.006737946999085476,**
PAUSE IS STRUCTURE,0.0,0.0,5.0,0.00038217534204693115,0.0,0.0,Sarcasm,0.006737946999085476,**
COMMUNICATION IS BAD_PERSON,0.0,0.0,5.0,0.00038217534204693115,0.0,0.0,Sarcasm,0.006737946999085476,**
PHYSICS IS FARM_BUILDING,0.0,0.0,5.0,0.00038217534204693115,0.0,0.0,Sarcasm,0.006737946999085476,**
REPROBATE IS FINANCIAL_CONDITION,0.0,0.0,5.0,0.00038217534204693115,0.0,0.0,Sarcasm,0.006737946999085476,**
INDEFINITE_QUANTITY IS MEDICINE,0.0,0.0,5.0,0.00038217534204693115,0.0,0.0,Sarcasm,0.006737946999085476,**
FEAR IS BAD_PERSON,0.0,0.0,5.0,0.00038217534204693115,0.0,0.0,Sarcasm,0.006737946999085476,**
END IS LACK,0.0,0.0,5.0,0.00038217534204693115,0.0,0.0,Sarcasm,0.006737946999085476,**
CONTENT IS POSSESSION,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
HAPPENING IS ASTONISHMENT,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
INTEGRITY IS CONDITION,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
NONACCOMPLISHMENT IS CHANGE_OF_INTEGRITY,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
AGREEMENT IS FORCE,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
STRONGARMER IS IMPORTANCE,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
WHOLE IS MOTION,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
TRAIT IS PHYSICAL_PHENOMENON,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
RESPONSIBILITY IS FACT,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
UNIT IS GROUP_ACTION,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
CELESTIAL_BODY IS ANIMAL,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
REPRESENTATION IS VISUAL_COMMUNICATION,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
STATEMENT IS REPLY,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
UNIT IS ACTIVITY,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
FIGHT IS DETERMINATION,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
ATTACHMENT IS CONTINUANCE,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
LIQUID_BODY_SUBSTANCE IS COMMUNICATION,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
SHARING IS SIZE,0.0,0.0,4.0,0.0003057402736375449,0.0,0.0,Sarcasm,0.018315638888734168,*
