Mapping,Count_Irony,Rel_Freq_Irony,Count_Sarcasm,Rel_Freq_Sarcasm,Count_Satire,Rel_Freq_Satire,Type,P_Value,Significance
ACCIDENT - CHANGE_OF_INTEGRITY,0.0,0.0,0.0,0.0,5.0,0.0004677706052951633,Satire,0.006737946999085476,**
ACT - MEASURE,0.0,0.0,0.0,0.0,5.0,0.0004677706052951633,Satire,0.006737946999085476,**
ACTION - FLATTERER,0.0,0.0,0.0,0.0,6.0,0.000561324726354196,Satire,0.002478752176666357,**
ACTIVITY - CONTENT,0.0,0.0,0.0,0.0,4.0,0.0003742164842361306,Satire,0.018315638888734168,*
AMBITION - IMAGINATION,0.0,0.0,0.0,0.0,4.0,0.0003742164842361306,Satire,0.018315638888734168,*
APPEARANCE - LOOK,0.0,0.0,0.0,0.0,10.0,0.0009355412105903266,Satire,4.539992976248493e-05,***
ATTRIBUTE - COMMUNICATION,0.0,0.0,0.0,0.0,7.0,0.0006548788474132286,Satire,0.0009118819655545183,***
BAD_TEMPER - ACTIVITY,0.0,0.0,0.0,0.0,4.0,0.0003742164842361306,Satire,0.018315638888734168,*
BCP - PLEASURE,0.0,0.0,0.0,0.0,4.0,0.0003742164842361306,Satire,0.018315638888734168,*
BODILY_PROCESS - MISTAKE,0.0,0.0,0.0,0.0,4.0,0.0003742164842361306,Satire,0.018315638888734168,*
CHANGE_OF_DIRECTION - CHANGE_OF_LOCATION,0.0,0.0,0.0,0.0,4.0,0.0003742164842361306,Satire,0.018315638888734168,*
CHANGE_OF_DIRECTION - INVESTIGATION,0.0,0.0,0.0,0.0,7.0,0.0006548788474132286,Satire,0.0009118819655545183,***
COGNITION - LOAD,0.0,0.0,0.0,0.0,7.0,0.0006548788474132286,Satire,0.0009118819655545183,***
COMMUNICATION - ARRANGEMENT,0.0,0.0,0.0,0.0,6.0,0.000561324726354196,Satire,0.002478752176666357,**
CONSUMER - FATIGUE,0.0,0.0,0.0,0.0,4.0,0.0003742164842361306,Satire,0.018315638888734168,*
DEVICE - INNOCENCE,0.0,0.0,0.0,0.0,7.0,0.0006548788474132286,Satire,0.0009118819655545183,***
DISCLOSURE - PRESENTATION,0.0,0.0,0.0,0.0,36.0,0.0033679483581251753,Satire,2.319522830243567e-16,***
DISPLAY - PRESENTATION,0.0,0.0,0.0,0.0,4.0,0.0003742164842361306,Satire,0.018315638888734168,*
EVENT - INFORMING,0.0,0.0,0.0,0.0,9.0,0.0008419870895312938,Satire,0.00012340980408667962,***
FEELING - DESIRE,0.0,0.0,0.0,0.0,6.0,0.000561324726354196,Satire,0.002478752176666357,**
FIGHT - BAG,0.0,0.0,0.0,0.0,4.0,0.0003742164842361306,Satire,0.018315638888734168,*
